state,totals_2015,totals_2016,gpercent_2010_to_2016,gtotals_2011_to_2015
Alabama,737509,616947,99.91348219580243,1952643
Alaska,85621,87647,32.98183859563944,336568
Arizona,331442,416279,102.02814850764376,1264848
Arkansas,257346,266014,38.94843508420041,966439
California,1761079,2377167,191.1771082522149,4881215
Colorado,454062,540514,79.68020743301642,1679076
Connecticut,307750,317692,76.89356607923384,988199
Delaware,50416,59430,208.88773388773387,136226
Florida,1147082,1435340,156.6099398048081,3585953
Georgia,566946,612985,83.94314127358986,1845919
Hawaii,15290,16681,58.36893572581411,62704
Idaho,136946,156343,69.88080103443404,522334
Illinois,1247398,1924070,176.72515460952107,4489732
Indiana,1076917,1436725,315.65890351511644,2080121
Iowa,147309,202277,62.16149048405458,614728
Kansas,185859,196548,36.343960709231666,776142
Kentucky,3218371,3676847,54.12807540643173,8940705
Louisiana,372613,391869,63.82209327603218,1259224
Maine,94744,111582,69.09438079650846,344806
Maryland,125694,165367,87.57174292779202,613013
Massachusetts,167285,226212,95.17186637217007,794645
Michigan,500921,579605,66.45749569213096,1715110
Minnesota,519244,651599,119.10588789132117,1785422
Mississippi,252372,276161,62.56909573622648,853896
Missouri,584875,632319,80.83203688027638,1992298
Montana,127705,136337,34.860279934714875,503095
Nebraska,79340,88663,52.12497640821508,311841
Nevada,127480,147992,41.22856406683908,528730
New Hampshire,136816,165164,106.60995746810107,491565
New Jersey,90034,121853,141.1879973081034,358498
New Mexico,147912,161216,47.81101871292485,555152
New York,346048,404772,67.61092362160707,1328947
North Carolina,531876,601445,81.35642283581144,2621489
North Dakota,69429,72036,52.99789733024659,302259
Ohio,748502,875724,122.68887476160204,2375508
Oklahoma,359276,364590,55.86830776071036,1368921
Oregon,276126,324708,75.6745205183001,994168
Pennsylvania,993429,1143220,82.42571532065163,3631440
Rhode Island,22129,27758,87.11156049882037,88387
South Carolina,326997,402978,99.86212232428035,1163286
South Dakota,100268,111921,77.22759734604361,333815
Tennessee,654192,714774,73.9007941142123,2109492
Texas,1574266,1721726,77.85121132644196,5690789
Utah,254814,294907,-46.684347734906915,1840204
Vermont,34588,39417,62.370242214532865,129436
Virginia,462997,528369,64.71228213465177,1698412
Washington,502280,713996,112.91576957255577,1956856
West Virginia,249014,242350,51.89595738013162,881870
Wisconsin,383280,561819,188.4125525547108,1561132
Wyoming,62339,63594,33.29560460290511,249314
